system time,,,,PWM duty
Hr,Min,Sec,mSec,0.5-0.99
11,47,07,.681,0.430000
11,47,07,.691,0.430000
11,47,08,.691,0.430000
11,47,09,.691,0.430000
11,47,10,.692,0.430000
11,47,11,.692,0.430000
11,47,12,.692,0.430000
11,47,13,.692,0.430000
11,47,14,.692,0.430000
11,47,15,.692,0.430000
11,47,16,.692,0.430000
11,47,17,.692,0.430000
11,47,18,.692,0.430000
11,47,19,.691,0.430000
11,47,20,.691,0.430000
11,47,21,.691,0.430000
11,47,22,.691,0.430000
11,47,23,.691,0.430000
11,47,24,.691,0.430000
11,47,25,.691,0.430000
11,47,26,.691,0.430000
11,47,27,.692,0.700000
11,47,28,.692,0.700000
11,47,29,.692,0.700000
11,47,30,.692,0.700000
11,47,31,.692,0.700000
11,47,32,.692,0.700000
11,47,33,.692,0.700000
11,47,34,.692,0.700000
11,47,35,.692,0.700000
11,47,36,.692,0.700000
11,47,37,.691,0.700000
11,47,38,.691,0.700000
11,47,39,.691,0.700000
11,47,40,.691,0.700000
11,47,41,.691,0.700000
11,47,42,.691,0.700000
11,47,43,.691,0.700000
11,47,44,.692,0.700000
11,47,45,.692,0.700000
11,47,46,.692,0.700000
11,47,47,.692,0.700000
11,47,48,.692,0.700000
11,47,49,.692,0.700000
11,47,50,.692,0.700000
11,47,51,.692,0.700000
11,47,52,.692,0.700000
11,47,53,.692,0.700000
11,47,54,.691,0.700000
11,47,55,.691,0.700000
11,47,56,.691,0.700000
11,47,57,.691,0.700000
11,47,58,.691,0.700000
11,47,59,.691,0.700000
11,48,00,.691,0.700000
11,48,01,.691,0.700000
11,48,02,.692,0.700000
11,48,03,.692,0.700000
11,48,04,.692,0.700000
11,48,05,.692,0.700000
11,48,06,.692,0.700000
11,48,07,.692,0.700000
11,48,08,.692,0.700000
11,48,09,.692,0.700000
11,48,10,.692,0.700000
11,48,11,.692,0.700000
11,48,12,.691,0.700000
11,48,13,.691,0.700000
11,48,14,.691,0.700000
11,48,15,.691,0.700000
11,48,16,.691,0.700000
11,48,17,.691,0.700000
11,48,18,.691,0.700000
11,48,19,.692,0.700000
11,48,20,.692,0.700000
11,48,21,.692,0.700000
11,48,22,.692,0.700000
11,48,23,.692,0.700000
11,48,24,.692,0.700000
11,48,25,.692,0.700000
11,48,26,.692,0.700000
11,48,27,.692,0.700000
11,48,28,.692,0.700000
11,48,29,.691,0.700000
11,48,30,.691,0.700000
11,48,31,.691,0.700000
11,48,32,.691,0.700000
11,48,33,.691,0.700000
11,48,34,.691,0.700000
11,48,35,.691,0.700000
11,48,36,.691,0.700000
11,48,37,.692,0.700000
11,48,38,.692,0.700000
11,48,39,.692,0.700000
11,48,40,.692,0.700000
11,48,41,.692,0.700000
11,48,42,.692,0.700000
11,48,43,.692,0.700000
11,48,44,.692,0.700000
11,48,45,.692,0.700000
11,48,46,.692,0.700000
11,48,47,.691,0.700000
11,48,48,.691,0.700000
11,48,49,.691,0.700000
11,48,50,.691,0.700000
11,48,51,.691,0.700000
